140,23,13,2019-06-10 20:23:07.695577
113,128,101,2019-06-10 20:23:10.449917
10,153,143,2019-06-10 20:23:15.641701
147,36,143,2019-06-10 20:23:21.190369
45,96,63,2019-06-10 20:23:24.609606
144,163,18,2019-06-10 20:23:27.730766
154,40,89,2019-06-10 20:23:32.290725
38,123,80,2019-06-10 20:23:41.791299
65,168,30,2019-06-10 20:23:46.814401
32,12,82,2019-06-10 20:23:52.768409
2,62,48,2019-06-10 20:23:55.724987
98,93,8,2019-06-10 20:23:58.678824
144,163,2,2019-06-10 20:24:03.980846
36,60,167,2019-06-10 20:24:06.753759
120,49,83,2019-06-10 20:24:09.561446
99,0,158,2019-06-10 20:24:13.933864
16,18,19,2019-06-10 20:24:19.928840
146,156,37,2019-06-10 20:24:23.070576
74,146,2,2019-06-10 20:24:26.445460
1,90,130,2019-06-10 20:24:29.465513
39,125,104,2019-06-10 20:24:32.381826
100,39,43,2019-06-10 20:24:39.139228
53,135,138,2019-06-10 20:24:42.027918
57,148,1,2019-06-10 20:24:44.471132
85,111,26,2019-06-10 20:24:48.944906
162,32,154,2019-06-10 20:24:52.255528
156,7,76,2019-06-10 20:24:56.679193
100,6,26,2019-06-10 20:24:59.536515
72,8,95,2019-06-10 20:25:02.634452
0,90,155,2019-06-10 20:25:10.561334
95,43,157,2019-06-10 20:25:14.849761
76,91,141,2019-06-10 20:25:24.265781
131,89,69,2019-06-10 20:25:28.376547
25,128,159,2019-06-10 20:25:32.207087
14,87,37,2019-06-10 20:25:35.288523
90,7,111,2019-06-10 20:25:39.098712
130,117,50,2019-06-10 20:25:44.101391
43,166,156,2019-06-10 20:25:47.326566
131,0,132,2019-06-10 20:26:03.149515
1,25,85,2019-06-10 20:26:06.777459
41,10,114,2019-06-10 20:26:09.912433
111,109,88,2019-06-10 20:26:18.629509
153,9,30,2019-06-10 20:26:22.176109
43,109,134,2019-06-10 20:26:28.146117
4,114,164,2019-06-10 20:26:33.860810
58,1,101,2019-06-10 20:26:42.266631
35,57,120,2019-06-10 20:26:46.146291
129,11,106,2019-06-10 20:26:50.598105
127,34,56,2019-06-10 20:26:53.726098
31,44,156,2019-06-10 20:26:56.539604
1,10,128,2019-06-10 20:27:02.599064
32,98,140,2019-06-10 20:27:05.473721
131,109,49,2019-06-10 20:27:09.465561
100,104,1,2019-06-10 20:27:12.751080
104,28,146,2019-06-10 20:27:19.165050
147,111,12,2019-06-10 20:27:22.866610
162,41,154,2019-06-10 20:27:25.149160
137,102,105,2019-06-10 20:27:27.551135
58,45,120,2019-06-10 20:13:52.700561
96,70,94,2019-06-10 20:13:55.892830
89,62,126,2019-06-10 20:13:59.358419
108,21,106,2019-06-10 20:14:02.620588
147,64,32,2019-06-10 20:14:06.121053
99,103,84,2019-06-10 20:14:09.554169
147,116,133,2019-06-10 20:14:11.959848
130,125,71,2019-06-10 20:14:14.950307
66,25,42,2019-06-10 20:14:21.794661
72,126,93,2019-06-10 20:14:26.214477
111,80,50,2019-06-10 20:14:28.979837
75,117,130,2019-06-10 20:14:33.272727
52,130,63,2019-06-10 20:14:35.618235
65,159,25,2019-06-10 20:14:38.440153
105,31,91,2019-06-10 20:14:47.492935
115,22,11,2019-06-10 20:14:50.090237
32,111,104,2019-06-10 20:14:53.171477
119,89,150,2019-06-10 20:14:55.210685
68,123,159,2019-06-10 20:14:58.082019
136,61,33,2019-06-10 20:15:01.406404
90,89,12,2019-06-10 20:15:06.083413
101,98,108,2019-06-10 20:15:08.271063
