"CUA_3D_Cube_edit",-0.457505376910646,-1.09600239616566
"CUD_2D_Cube_edit",-0.532210423140803,-0.853757018548927
"DAM3D001_P_CUAedit",-0.502835575655249,-0.0652961379277051
"DAM3D002_F_CUDedit",-0.514022184027065,-0.0635912735579744
"DAM3D002_P_CUAedit",-0.532614608452335,-0.434179444341071
"DAM3D002_T_CUDedit",-0.939244405492778,-0.28619059364888
"DAM3D003_F_CUDedit",0.102327425106354,1.20225915560683
"DAM3D003_P_CUDedit",-0.112291990212996,1.07608702434485
"DAM3D003_T_CUDedit",0.0711324165694476,1.12661290368631
"DAM3D004_F_CUDedit",-0.872214950901062,-0.438797819483012
"DAM3D004_T_CUAedit",-0.54507759735373,-0.25161411409464
"DAM3D005_P_CUDedit",-0.514935416901202,-0.30733702537698
"DAM3D005_T_CUAedit",-0.500145590186699,-0.340083747259505
"DAM3D006_F_CUDedit",-0.545948822898007,1.0367593976683
"DAM3D006_P_CUAedit",0.441642816317156,-0.0585986091133551
"DAM3D006_T_CUDedit",0.605680497095779,-0.0677900253323297
"DAM3D007_F_CUDedit",-0.507708053479141,-0.276399546889175
"DAM3D007_P_CUAedit",-0.515571454425898,-0.306311497135985
"DAM3D007_T_CUAedit",-0.396827814103643,-0.21962693460202
"DAM3D008_F_CUDedit",-0.33840462104225,-0.827746136236793
"DAM3D008_P_CUAedit",-0.0663812791787886,-1.17799710705717
"DAM3D008_T_CUDedit",-0.25682891089774,-0.860771545244035
"DAM3D009_F_CUDedit",-0.537691643477579,-0.27477547413544
"DAM3D009_P_CUAedit",-0.525666070658892,-0.416936911379816
"DAM3D009_T_CUAedit",-0.572433470786908,-0.164614669332337
"DAM3D010_F_CUDedit",0.517824782173389,-0.0855217599984503
"DAM3D010_P_CUDedit",0.694179635000402,0.110910396172191
"DAM3D011_F_CUDedit",-0.529878623875151,-0.28959831753514
"DAM3D011_T_CUAedit",-0.545938683006511,-0.280130378855901
"DAM3D012_F_CUAedit",-0.533597699143613,-0.181499331579711
"DAM3D012_P_CUDedit",-0.519931821636337,-0.44963058213001
"DAM3D012_T_CUDedit",-0.567465825496133,-0.339393079058126
"DAM3D013_F_CUAedit",-0.506360326809181,-0.400391108109241
"DAM3D013_P_CUDedit",-0.507093058736933,-0.602264244806125
"DAM3D013_T_CUAedit",-0.498245187039974,-0.265941358805103
"DAM3D014_F_CUDedit",0.519692015893338,-0.384187819888878
"DAM3D014_P_CUDedit",0.480218779648961,-0.355436572055548
"DAM3D014_T_CUAedit",0.515197624822819,-0.336171633369474
"DAM3D015_P_CUDedit",-0.551873407846632,-0.342699820053879
"DAM3D017_P_CUDedit",-0.513988672985322,-0.259666936404594
"DAM3D018_F_CUAedit",-0.538634407188096,1.10676035059479
"DAM3D018_P_CUDedit",0.457815657194567,0.00605775261528229
"DAM3D018_T_CUDedit",0.515324233612313,-0.204729417696248
"DAM3D019_P_CUAedit",-0.585250764858168,-0.129660341103082
"DAM3D020_F_CUDedit",0.486153430136612,-0.256276202289012
"DAM3D020_P_CUAedit",0.465224540714977,-0.308904863573689
"DAM3D020_T_CUAedit",0.48039789191569,-0.235869790852993
"DAM3D021_P_CUDedit",0.40810029845534,-0.232614978506377
"DAM3D022_F_CUDedit",-0.218098110420227,1.01394923933004
"DAM3D022_P_CUAedit",0.253594911406608,1.10291324340155
"DAM3D022_T_CUAedit",-0.506973202481529,1.13446410893263
"DAM3D023_P_CUDedit",-0.505947086750806,0.237509390840531
"DAM3D024_P_CUDedit",0.473063794358993,-0.0851452088043265
"DAM3D025_F_CUDedit",0.599759633284638,-0.0385677722273354
"DAM3D025_P_CUDedit",0.483503075007133,0.0181559196906229
"DAM3D025_T_CUAedit",0.457155274674055,-0.138855882562123
"DAM3D026_F_CUAedit",0.478747545440976,-0.238015265503162
"DAM3D026_P_CUDedit",0.484962386951443,-0.232974037564501
"DAM3D026_T_CUDedit",0.503840282001671,-0.342919291308144
"DAM3D027_F_CUAedit",-0.53327273348487,-0.255459476273609
"DAM3D027_P_CUDedit",-0.518778061383066,-0.101744423456883
"DAM3D027_T_CUAedit",-0.512833030739836,0.0231282946075798
"DAM3D028_F_CUAedit",0.495458809916291,-0.151755650962577
"DAM3D028_P_CUAedit",0.513416394199575,-0.121761558062525
"DAM3D028_T_CUDedit",0.474366688213866,-0.151244624472748
"DAM3D029_F_CUAedit",0.533579490105837,-0.395882490085115
"DAM3D029_P_CUDedit",-0.348578349653881,-0.189899553948946
"DAM3D029_T_CUAedit",0.492511464157674,-0.18059911221152
"DAM3D030_F_CUDedit",-0.547879905394992,-0.272587510254123
"DAM3D030_P_CUAedit",-0.663759213523693,-0.411004421996547
"DAM3D030_T_CUAedit",-0.557694342699697,-0.223820549724091
"DAM3D031_F_CUAedit",-0.240920397195183,-0.127133676832332
"DAM3D031_P_CUAedit",-0.475232793178767,-0.275364156553425
"DAM3D031_T_CUDedit",-0.543592414832874,0.66349418351209
"DAM3D032_F_CUDedit",-0.537458683506099,-0.234753468541882
"DAM3D032_P_CUDedit",-0.531635664721887,-0.438456375912932
"DAM3D032_T_CUAedit",-0.517457268031299,-0.311506894996529
"DAM3D033_F_CUDedit",-0.268770700878321,-0.197770964321697
"DAM3D033_P_CUAedit",0.501678706460852,-0.290293614996013
"DAM3D033_T_CUAedit",-0.292530029612786,-0.226137634975683
"DAM3D034_F_CUDedit",0.51688583905484,1.26836659319799
"DAM3D034_P_CUDedit",-0.10765821695144,1.33889992795882
"DAM3D034_T_CUAedit",0.329617677446293,1.31128692117572
