,alg_id,alg_label,context,context_type,exp_uid,left_id,network_delay,participant_uid,query_uid,response_time,right_id,target_left,target_right,target_winner,timestamp_answer_received,timestamp_query_generated,winner_id
507,BR_Random,BR_Random,https://banditsbucket.s3-us-west-2.amazonaws.com/CYA_3D_Cylinder_edit.jpeg,image,602c168468300675783bef75294459,51,0.212956,602c168468300675783bef75294459_HFtWkmFh1YgNvwVepMC9VCSBB24dhM,e345ef9e2b02783e5a4c09914b534e10,1.64,86,http://clintsbucket.s3.amazonaws.com/DAM3D019_T_CYAedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D031_P_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D019_T_CYAedit.jpeg,2019-07-13 17:47:34.057352,2019-07-13 17:47:32.204396,51
508,BR_Random,BR_Random,https://banditsbucket.s3-us-west-2.amazonaws.com/CYA_3D_Cylinder_edit.jpeg,image,602c168468300675783bef75294459,17,0.206539,602c168468300675783bef75294459_HFtWkmFh1YgNvwVepMC9VCSBB24dhM,bbaee091f91674a3056a152ca155e963,1.033,87,http://clintsbucket.s3.amazonaws.com/DAM3D006_P_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D031_T_CYAedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D006_P_CYDedit.jpeg,2019-07-13 17:47:35.669186,2019-07-13 17:47:34.429647,17
509,BR_Random,BR_Random,https://banditsbucket.s3-us-west-2.amazonaws.com/CYA_3D_Cylinder_edit.jpeg,image,602c168468300675783bef75294459,6,0.258422,602c168468300675783bef75294459_HFtWkmFh1YgNvwVepMC9VCSBB24dhM,2c937176512d5f2c246e03f8e58f9f35,0.776,9,http://clintsbucket.s3.amazonaws.com/DAM3D002_P_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D003_P_CYAedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D002_P_CYDedit.jpeg,2019-07-13 17:47:37.081019,2019-07-13 17:47:36.046597,6
510,BR_Random,BR_Random,https://banditsbucket.s3-us-west-2.amazonaws.com/CYA_3D_Cylinder_edit.jpeg,image,602c168468300675783bef75294459,165,0.195086,602c168468300675783bef75294459_HFtWkmFh1YgNvwVepMC9VCSBB24dhM,786702747c871158cdb7070c130f92ad,1.389,36,http://clintsbucket.s3.amazonaws.com/DAM3D064_F_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D013_F_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D013_F_CYDedit.jpeg,2019-07-13 17:47:39.118024,2019-07-13 17:47:37.533938,36
511,BR_Random,BR_Random,https://banditsbucket.s3-us-west-2.amazonaws.com/CYA_3D_Cylinder_edit.jpeg,image,602c168468300675783bef75294459,139,0.203079,602c168468300675783bef75294459_HFtWkmFh1YgNvwVepMC9VCSBB24dhM,6ee1991e60244b0d01c8ce9daa9ccd70,0.947,46,http://clintsbucket.s3.amazonaws.com/DAM3D054_P_CYAedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D018_F_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D054_P_CYAedit.jpeg,2019-07-13 17:47:40.657252,2019-07-13 17:47:39.507173,139
512,BR_Random,BR_Random,https://banditsbucket.s3-us-west-2.amazonaws.com/CYA_3D_Cylinder_edit.jpeg,image,602c168468300675783bef75294459,126,0.178809,602c168468300675783bef75294459_HFtWkmFh1YgNvwVepMC9VCSBB24dhM,2a6a5de8d596bc8e968c474b5afc0cd5,0.547,84,http://clintsbucket.s3.amazonaws.com/DAM3D047_T_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D030_T_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D030_T_CYDedit.jpeg,2019-07-13 17:47:41.770448,2019-07-13 17:47:41.044639,84
513,BR_Random,BR_Random,https://banditsbucket.s3-us-west-2.amazonaws.com/CYA_3D_Cylinder_edit.jpeg,image,602c168468300675783bef75294459,46,0.26925,602c168468300675783bef75294459_HFtWkmFh1YgNvwVepMC9VCSBB24dhM,1487e4c443d2542f9e54e85117e02ccc,0.871,176,http://clintsbucket.s3.amazonaws.com/DAM3D018_F_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D067_T_CYAedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D067_T_CYAedit.jpeg,2019-07-13 17:47:43.289166,2019-07-13 17:47:42.148916,176
514,BR_Random,BR_Random,https://banditsbucket.s3-us-west-2.amazonaws.com/CYA_3D_Cylinder_edit.jpeg,image,602c168468300675783bef75294459,95,0.196579,602c168468300675783bef75294459_HFtWkmFh1YgNvwVepMC9VCSBB24dhM,0b61a8eda60a4da285f055def591d3ef,0.963,8,http://clintsbucket.s3.amazonaws.com/DAM3D034_P_CYAedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D003_F_CYAedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D034_P_CYAedit.jpeg,2019-07-13 17:47:44.783211,2019-07-13 17:47:43.623632,95
515,BR_Random,BR_Random,https://banditsbucket.s3-us-west-2.amazonaws.com/CYA_3D_Cylinder_edit.jpeg,image,602c168468300675783bef75294459,129,0.210631,602c168468300675783bef75294459_HFtWkmFh1YgNvwVepMC9VCSBB24dhM,6c282f38cc9c2bc827155c07100b1a35,0.515,169,http://clintsbucket.s3.amazonaws.com/DAM3D048_T_CYAedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D065_P_CYAedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D065_P_CYAedit.jpeg,2019-07-13 17:47:45.881041,2019-07-13 17:47:45.155410,169
516,BR_Random,BR_Random,https://banditsbucket.s3-us-west-2.amazonaws.com/CYA_3D_Cylinder_edit.jpeg,image,602c168468300675783bef75294459,123,0.193954,602c168468300675783bef75294459_HFtWkmFh1YgNvwVepMC9VCSBB24dhM,6e2c3d37446da63ed2664cbb48577269,1.004,101,http://clintsbucket.s3.amazonaws.com/DAM3D046_P_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D037_F_CYDedit.jpeg,http://clintsbucket.s3.amazonaws.com/DAM3D037_F_CYDedit.jpeg,2019-07-13 17:47:47.519803,2019-07-13 17:47:46.321849,101
