86,67,167,2019-07-03 19:30:58.098343
133,141,11,2019-07-03 19:30:58.098345
123,8,105,2019-07-03 19:30:58.098346
90,135,160,2019-07-03 19:30:58.098347
21,123,111,2019-07-03 19:30:58.098348
30,149,0,2019-07-03 19:30:58.098349
42,149,45,2019-07-03 19:30:58.098350
92,125,19,2019-07-03 19:30:58.098352
157,107,176,2019-07-03 19:30:58.098353
7,139,6,2019-07-03 19:30:58.098354
135,16,40,2019-07-03 19:30:58.098355
15,24,102,2019-07-03 19:30:58.098356
165,32,174,2019-07-03 19:30:58.098357
128,1,148,2019-07-03 19:30:58.098358
133,78,85,2019-07-03 19:30:58.098359
92,94,154,2019-07-03 19:30:58.098360
91,58,181,2019-07-03 19:30:58.098361
106,168,97,2019-07-03 19:30:58.098364
153,112,178,2019-07-03 19:30:58.098365
161,116,130,2019-07-03 19:30:58.098366
81,26,70,2019-07-03 19:30:58.098367
67,74,131,2019-07-03 19:30:58.098368
173,168,115,2019-07-03 19:30:58.098369
36,175,124,2019-07-03 19:30:58.098370
55,98,35,2019-07-03 19:30:58.098371
33,72,53,2019-07-03 19:30:58.098372
75,127,160,2019-07-03 19:30:58.098373
3,16,31,2019-07-03 19:30:58.098375
158,113,90,2019-07-03 19:30:58.098376
82,81,75,2019-07-03 19:30:58.098377
93,176,135,2019-07-03 19:30:58.098378
177,2,38,2019-07-03 19:30:58.098379
99,2,125,2019-07-03 19:30:58.098380
180,97,6,2019-07-03 19:30:58.098381
71,47,151,2019-07-03 19:30:58.098382
4,79,3,2019-07-03 19:30:58.098383
127,18,45,2019-07-03 19:30:58.098384
178,58,166,2019-07-03 19:30:58.098385
159,29,90,2019-07-03 19:30:58.098386
11,140,154,2019-07-03 19:30:58.098387
158,114,0,2019-07-03 19:30:58.098388
37,98,58,2019-07-03 19:30:58.098390
79,116,94,2019-07-03 19:30:58.098391
99,96,113,2019-07-03 19:30:58.098393
175,135,105,2019-07-03 19:30:58.098394
5,127,165,2019-07-03 19:30:58.098396
47,46,161,2019-07-03 19:30:58.098397
63,13,10,2019-07-03 19:30:58.098398
84,144,48,2019-07-03 19:30:58.098399
151,23,36,2019-07-03 19:30:58.098400
171,160,170,2019-07-03 19:30:58.098401
62,167,14,2019-07-03 19:30:58.098403
84,154,81,2019-07-03 19:30:58.098404
124,87,81,2019-07-03 19:30:58.098405
51,125,140,2019-07-03 19:30:58.098407
100,117,41,2019-07-03 19:30:58.098408
11,127,107,2019-07-03 19:30:58.098409
175,132,102,2019-07-03 19:30:58.098410
180,59,98,2019-07-03 19:30:58.098412
24,102,0,2019-07-03 19:30:58.098413
81,88,22,2019-07-03 19:30:58.098414
43,26,4,2019-07-03 19:30:58.098415
148,20,118,2019-07-03 19:30:58.098416
107,64,176,2019-07-03 19:30:58.098418
143,7,54,2019-07-03 19:30:58.098419
35,105,20,2019-07-03 19:30:58.098420
109,29,163,2019-07-03 19:30:58.098421
96,145,34,2019-07-03 19:30:58.098422
123,175,171,2019-07-03 19:30:58.098423
3,78,165,2019-07-03 19:30:58.098424
177,136,63,2019-07-03 19:30:58.098425
31,49,103,2019-07-03 19:30:58.098426
78,29,53,2019-07-03 19:30:58.098427
147,149,8,2019-07-03 19:30:58.098428
53,137,25,2019-07-03 19:30:58.098430
32,111,76,2019-07-03 19:30:58.098431
143,51,162,2019-07-03 19:30:58.098432
162,104,132,2019-07-03 19:30:58.098433
85,47,126,2019-07-03 19:30:58.098434
89,139,94,2019-07-03 19:30:58.098435
91,27,80,2019-07-03 19:30:58.098436
119,70,76,2019-07-03 19:30:58.098437
12,121,4,2019-07-03 19:30:58.098438
120,91,98,2019-07-03 19:30:58.098439
122,116,160,2019-07-03 19:30:58.098440
51,175,161,2019-07-03 19:30:58.098441
71,11,131,2019-07-03 19:30:58.098443
20,172,69,2019-07-03 19:30:58.098444
168,29,89,2019-07-03 19:30:58.098445
106,130,96,2019-07-03 19:30:58.098446
114,178,98,2019-07-03 19:30:58.098447
105,15,51,2019-07-03 19:30:58.098448
130,48,147,2019-07-03 19:30:58.098449
71,112,144,2019-07-03 19:30:58.098451
90,0,57,2019-07-03 19:30:58.098452
174,142,80,2019-07-03 19:30:58.098453
139,156,105,2019-07-03 19:30:58.098454
161,132,130,2019-07-03 19:30:58.098455
173,108,142,2019-07-03 19:30:58.098456
37,18,178,2019-07-03 19:30:58.098457
103,121,64,2019-07-03 19:30:58.098458
161,16,163,2019-07-03 19:30:58.098460
61,52,78,2019-07-03 19:30:58.098461
40,23,138,2019-07-03 19:30:58.098462
112,56,23,2019-07-03 19:30:58.098463
96,100,25,2019-07-03 19:30:58.098464
126,16,87,2019-07-03 19:30:58.098465
62,123,50,2019-07-03 19:30:58.098466
138,104,53,2019-07-03 19:30:58.098467
149,142,76,2019-07-03 19:30:58.098468
40,97,108,2019-07-03 19:30:58.098469
14,63,180,2019-07-03 19:30:58.098470
159,142,66,2019-07-03 19:30:58.098471
79,18,141,2019-07-03 19:30:58.098472
122,73,148,2019-07-03 19:30:58.098473
10,75,110,2019-07-03 19:30:58.098474
78,96,149,2019-07-03 19:30:58.098475
30,97,76,2019-07-03 19:30:58.098476
100,179,115,2019-07-03 19:30:58.098477
148,168,65,2019-07-03 19:30:58.098478
11,143,72,2019-07-03 19:30:58.098480
150,135,175,2019-07-03 19:30:58.098481
90,39,54,2019-07-03 19:30:58.098482
92,23,108,2019-07-03 19:30:58.098483
45,79,175,2019-07-03 19:30:58.098484
20,158,17,2019-07-03 19:30:58.098485
122,11,117,2019-07-03 19:30:58.098488
38,111,174,2019-07-03 19:30:58.098489
3,42,167,2019-07-03 19:30:58.098490
106,96,89,2019-07-03 19:30:58.098491
13,51,117,2019-07-03 19:30:58.098492
40,121,111,2019-07-03 19:30:58.098493
100,88,23,2019-07-03 19:30:58.098494
153,102,62,2019-07-03 19:30:58.098495
120,177,180,2019-07-03 19:30:58.098497
106,162,75,2019-07-03 19:30:58.098498
25,45,106,2019-07-03 19:30:58.098499
120,1,66,2019-07-03 19:30:58.098500
106,60,9,2019-07-03 19:30:58.098502
18,108,132,2019-07-03 19:30:58.098503
76,24,99,2019-07-03 19:30:58.098504
157,40,144,2019-07-03 19:30:58.098505
45,58,43,2019-07-03 19:30:58.098506
97,128,169,2019-07-03 19:30:58.098507
107,8,83,2019-07-03 19:30:58.098508
23,160,60,2019-07-03 19:30:58.098509
19,116,28,2019-07-03 19:30:58.098510
107,39,53,2019-07-03 19:30:58.098513
16,8,151,2019-07-03 19:30:58.098514
36,5,70,2019-07-03 19:30:58.098515
30,108,131,2019-07-03 19:30:58.098516
150,66,11,2019-07-03 19:30:58.098517
10,42,142,2019-07-03 19:30:58.098518
101,116,8,2019-07-03 19:30:58.098519
139,178,181,2019-07-03 19:30:58.098520
175,108,87,2019-07-03 19:30:58.098521
30,69,102,2019-07-03 19:30:58.098522
87,122,40,2019-07-03 19:30:58.098523
82,180,54,2019-07-03 19:30:58.098524
150,151,60,2019-07-03 19:30:58.098525
75,124,165,2019-07-03 19:30:58.098526
137,175,154,2019-07-03 19:30:58.098527
128,180,27,2019-07-03 19:30:58.098529
118,97,169,2019-07-03 19:30:58.098530
108,43,114,2019-07-03 19:30:58.098531
77,147,32,2019-07-03 19:30:58.098532
4,24,134,2019-07-03 19:30:58.098533
87,43,70,2019-07-03 19:30:58.098534
63,164,158,2019-07-03 19:30:58.098535
113,132,155,2019-07-03 19:30:58.098536
67,166,21,2019-07-03 19:30:58.098537
51,96,173,2019-07-03 19:30:58.098538
2,16,62,2019-07-03 19:30:58.098539
53,118,62,2019-07-03 19:30:58.098540
73,180,81,2019-07-03 19:30:58.098541
99,65,16,2019-07-03 19:30:58.098542
91,143,14,2019-07-03 19:30:58.098543
111,59,164,2019-07-03 19:30:58.098544
100,41,174,2019-07-03 19:30:58.098545
57,28,163,2019-07-03 19:30:58.098546
91,156,92,2019-07-03 19:30:58.098547
20,98,42,2019-07-03 19:30:58.098548
116,99,162,2019-07-03 19:30:58.098549
164,54,178,2019-07-03 19:30:58.098550
90,172,6,2019-07-03 19:30:58.098551
68,163,156,2019-07-03 19:30:58.098552
89,23,115,2019-07-03 19:30:58.098553
138,102,105,2019-07-03 19:30:58.098554
