"id","Cube_mediaType","Cube_TotalCount","Cube_AnswerCount","Cube_diff","Cube_RankRatio","Cube_rankOrder"
"DAM3D004","F",125,53,72,0.424,113
"DAM3D002","T",133,55,78,0.413533834586466,114
"DAM3D066","F",125,51,74,0.408,115
"DAM3D067","F",114,46,68,0.403508771929825,116
"DAM3D018","T",112,45,67,0.401785714285714,117
"DAM3D017","P",117,47,70,0.401709401709402,118
"DAM3D038","P",121,48,73,0.396694214876033,119
"DAM3D044","T",109,43,66,0.394495412844037,120
"DAM3D068","T",109,43,66,0.394495412844037,121
"DAM3D025","F",162,63,99,0.388888888888889,122
"DAM3D043","P",125,48,77,0.384,123
"DAM3D035","P",123,47,76,0.382113821138211,124
"DAM3D025","P",136,51,85,0.375,125
"DAM3D008","F",115,42,73,0.365217391304348,126
"DAM3D027","T",116,42,74,0.362068965517241,127
"DAM3D019","P",124,44,80,0.354838709677419,128
"DAM3D044","F",140,48,92,0.342857142857143,129
"DAM3D042","P",135,46,89,0.340740740740741,130
"DAM3D008","T",135,45,90,0.333333333333333,131
"DAM3D010","P",134,44,90,0.328358208955224,132
"DAM3D023","P",137,41,96,0.299270072992701,133
"DAM3D048","F",127,38,89,0.299212598425197,134
"DAM3D010","F",140,40,100,0.285714285714286,135
"DAM3D049","P",118,33,85,0.279661016949153,136
"DAM3D048","T",112,31,81,0.276785714285714,137
"DAM3D053","P",130,35,95,0.269230769230769,138
"DAM3D056","T",121,32,89,0.264462809917355,139
"DAM3D046","F",127,33,94,0.259842519685039,140
"DAM3D048","P",128,32,96,0.25,141
"DAM3D051","T",113,27,86,0.238938053097345,142
"DAM3D058","P",124,29,95,0.233870967741935,143
"DAM3D008","P",137,32,105,0.233576642335766,144
"DAM3D031","T",142,32,110,0.225352112676056,145
"DAM3D018","P",118,25,93,0.211864406779661,146
"DAM3D022","P",103,20,83,0.194174757281553,147
"DAM3D051","P",97,18,79,0.185567010309278,148
"DAM3D003","P",124,23,101,0.185483870967742,149
"DAM3D052","P",108,19,89,0.175925925925926,150
"DAM3D069","F",127,21,106,0.165354330708661,151
"DAM3D006","F",140,21,119,0.15,152
"DAM3D003","F",131,19,112,0.145038167938931,153
"DAM3D046","T",115,16,99,0.139130434782609,154
"DAM3D068","P",119,16,103,0.134453781512605,155
"DAM3D018","F",134,18,116,0.134328358208955,156
"DAM3D058","T",111,14,97,0.126126126126126,157
"DAM3D022","F",126,15,111,0.119047619047619,158
"DAM3D035","T",118,14,104,0.11864406779661,159
"DAM3D022","T",147,17,130,0.115646258503401,160
"DAM3D046","P",125,14,111,0.112,161
"DAM3D034","F",121,10,111,0.0826446280991736,162
"DAM3D057","P",126,10,116,0.0793650793650794,163
"DAM3D003","T",143,11,132,0.0769230769230769,164
"DAM3D037","F",100,7,93,0.07,165
"DAM3D037","P",132,9,123,0.0681818181818182,166
"DAM3D034","T",119,8,111,0.0672268907563025,167
"DAM3D034","P",105,7,98,0.0666666666666667,168
"DAM3D037","T",114,5,109,0.043859649122807,169
